PCID,Province,Population_ID,Species,Gender,Collection_Year,Collection_Month,Collection_Day,Latitude,Longitude,Node_Count,Node,BM848a,BM848b,BM888a,BM888b,MAP2Ca,MAP2Cb,RT24a,RT24b,RT30a,RT30b,RT5a,RT5b,RT6a,RT6b,RT7a,RT7b,RT9a,RT9b
27,MB,North Interlake,Rangifer tarandus caribou ,M,2004,1,24,53.00,-99.30,104,1,362,362,170,178,95,103,NA,NA,193,197,NA,NA,96,108,226,226,116,122
44,MB,North Interlake,Rangifer tarandus caribou ,M,2004,1,24,52.63,-99.22,104,1,362,364,NA,NA,103,103,219,219,183,191,NA,NA,108,108,226,236,116,122
138,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.99,-99.19,104,1,362,364,164,170,103,103,NA,NA,193,193,102,102,96,108,228,228,116,116
141,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.99,-99.19,104,1,362,364,164,170,95,103,NA,NA,NA,NA,102,104,96,96,226,234,116,116
148,MB,North Interlake,Rangifer tarandus caribou ,M,2004,3,22,52.93,-99.15,104,1,364,364,170,170,95,103,219,219,193,193,112,114,108,108,226,226,116,116
149,MB,North Interlake,Rangifer tarandus caribou ,M,2004,3,22,52.93,-99.15,104,1,362,364,162,164,103,109,219,285,193,197,98,110,96,106,218,234,116,122
150,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.93,-99.15,104,1,NA,NA,164,170,103,109,205,219,193,197,98,104,108,108,226,226,116,116
151,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.93,-99.15,104,1,NA,NA,NA,NA,95,103,219,219,193,193,92,104,96,108,226,226,116,122
154,MB,North Interlake,Rangifer tarandus caribou ,M,2004,3,22,52.93,-99.15,104,1,364,364,170,170,103,109,NA,NA,193,197,104,114,108,108,226,228,116,116
158,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.94,-98.99,104,1,364,364,164,170,95,109,205,219,193,193,98,104,106,108,226,226,116,116
160,MB,North Interlake,Rangifer tarandus caribou ,NA,2004,3,22,52.94,-98.99,104,1,362,364,170,180,95,103,219,285,193,193,92,102,96,102,218,228,116,116
161,MB,North Interlake,Rangifer tarandus caribou ,NA,2004,3,22,52.92,-99.06,104,1,364,364,176,176,95,103,219,219,193,193,92,92,108,108,226,234,116,116
163,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.92,-99.06,104,1,NA,NA,170,176,103,103,NA,NA,193,193,92,102,92,104,218,226,116,116
166,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.92,-99.06,104,1,NA,NA,170,170,95,103,219,219,193,197,92,92,102,108,218,228,116,116
167,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.92,-99.06,104,1,362,362,170,172,103,103,219,219,NA,NA,NA,NA,92,108,218,226,116,124
168,MB,North Interlake,Rangifer tarandus caribou ,NA,2004,3,22,52.92,-99.06,104,1,364,364,170,170,101,103,NA,NA,NA,NA,98,102,108,108,226,228,116,116
169,MB,North Interlake,Rangifer tarandus caribou ,M,2004,3,22,52.92,-99.06,104,1,364,364,176,180,95,95,205,219,NA,NA,92,114,96,102,218,218,116,116
170,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.92,-99.06,104,1,362,362,176,176,95,95,219,219,193,193,114,114,102,110,234,234,116,116
171,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.92,-99.06,104,1,362,364,170,176,95,95,219,221,193,193,102,112,106,108,218,218,116,116
172,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.94,-99.30,104,1,362,364,170,176,95,109,219,219,193,197,104,114,96,108,226,234,116,116
173,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.94,-99.30,104,1,364,364,NA,NA,95,103,NA,NA,193,193,110,114,96,108,226,228,116,116
174,MB,North Interlake,Rangifer tarandus caribou ,F,2004,3,22,52.94,-99.30,104,1,362,364,164,176,103,103,205,221,193,193,98,102,108,108,226,226,116,116
175,MB,North Interlake,Rangifer tarandus caribou ,M,2004,3,22,52.94,-99.30,104,1,362,364,NA,NA,95,109,219,285,193,197,92,114,96,108,218,226,116,116
302,MB,North Interlake,Rangifer tarandus caribou ,F,2005,2,11,52.93,-99.27,104,1,362,364,170,176,95,95,219,219,193,197,102,112,108,108,218,218,116,116
309,MB,North Interlake,Rangifer tarandus caribou ,F,2005,2,12,52.64,-99.03,104,1,362,362,164,164,95,103,205,219,191,197,92,110,102,102,226,236,122,122
313,MB,North Interlake,Rangifer tarandus caribou ,M,2005,2,12,52.64,-99.03,104,1,364,364,164,172,103,103,219,221,197,197,110,116,96,108,226,226,116,124
327,MB,North Interlake,Rangifer tarandus caribou ,M,2005,2,11,52.88,-99.19,104,1,362,362,NA,NA,103,103,205,205,193,193,92,102,108,108,226,226,116,116
329,MB,North Interlake,Rangifer tarandus caribou ,M,2005,2,11,52.88,-99.19,104,1,362,364,170,172,103,103,219,219,193,193,92,112,92,108,218,226,116,116
