Node,V1,V2,Node_Count
1,-99.20673384,52.84344954,104
10,-100.491429,54.45293119,318
100,-116.3962265,61.7046583,23
101,-115.243428,56.58097545,20
102,-109.5064427,57.83070022,37
103,-114.5165364,55.29705574,38
104,-114.9407253,55.8495329,62
105,-110.5533624,57.22509236,39
106,-110.2065248,58.5492905,14
107,-110.6490924,57.89767658,62
108,-108.3132357,56.83500007,40
109,-105.4325245,56.20399268,22
11,-98.55695876,52.29454327,63
110,-107.3782494,56.64872372,58
112,-95.4830584,56.1358752,10
113,-85.75638033,47.70971592,12
12,-100.2803406,55.16079249,70
13,-99.1129557,55.22794995,112
14,-114.633119,60.72439937,24
15,-116.4269037,60.45934227,26
16,-116.5470518,60.01954131,58
17,-114.7795844,59.93499055,53
18,-113.7770014,59.67628986,51
19,-103.6514048,54.24964409,117
2,-101.2739916,53.39094306,274
20,-112.6705471,57.8173225,34
21,-103.5209642,55.607007,35
22,-102.0309866,55.08038963,112
23,-95.73934386,53.07446577,22
25,-95.47883548,56.3890871,62
26,-93.77400357,56.25846071,28
28,-97.29733949,53.92716882,39
29,-90.04958585,56.73237508,65
3,-101.1903466,54.93761993,107
30,-96.33972561,52.05528039,28
31,-96.97768058,52.60875283,12
32,-95.84178867,51.42893543,21
33,-95.22966235,50.77984712,17
34,-126.6933137,65.44043698,64
35,-129.0950237,66.62308815,40
36,-128.4841162,66.255453,19
38,-125.2563424,65.05611869,58
4,-99.26383406,54.46165896,227
40,-105.7047706,55.29422236,59
41,-104.2835722,54.99741059,54
43,-122.5613933,61.93276742,19
44,-109.2352735,56.36965212,51
45,-109.943974,55.82087896,46
46,-112.6654769,55.71534306,36
47,-111.2348324,55.52859015,59
48,-111.1294146,56.61857633,9
49,-93.18829459,56.64026476,17
5,-105.4727982,54.59345325,169
50,-95.67587783,55.74407183,12
52,-92.36753505,51.10916218,39
53,-92.02799971,51.63134139,28
54,-87.01366765,48.64702376,55
55,-83.89510357,53.73871357,14
56,-84.92319,52.68657789,19
57,-83.63695643,52.13777929,14
58,-84.93941091,51.28053636,11
59,-86.51003213,52.01633033,15
6,-106.1232629,54.73106468,62
60,-83.3024515,50.7998465,20
61,-81.894188,50.103224,15
62,-82.404066,51.8241,10
63,-90.10600105,52.78016421,19
64,-87.16348,53.267765,10
65,-92.40094908,52.920824,12
66,-84.18537417,51.05755583,12
67,-89.37880756,54.07371222,18
68,-80.03737631,49.96552619,54
69,-89.38066118,55.55084,17
7,-105.4160878,53.91413471,51
70,-90.065591,50.3127095,20
71,-94.13172156,51.9114518,25
72,-91.32884612,51.15916892,25
73,-86.944026,50.1565193,20
74,-87.90725577,50.87772517,35
75,-90.23341515,51.4984332,20
76,-110.4288449,55.07267644,59
77,-113.9907996,56.23017435,20
78,-112.7964536,56.74931495,41
79,-114.4950183,57.48293357,37
8,-106.8692731,54.32257714,78
80,-102.8579126,54.51912747,74
81,-124.0069171,65.5379666,92
83,-103.7305979,57.39443758,33
84,-103.7720812,56.48986367,12
85,-107.4744231,57.29227153,30
86,-105.1636771,57.40265524,21
87,-106.1935625,56.5357715,42
9,-107.5532301,54.70929671,34
90,-107.5018285,55.35125118,174
91,-108.2341288,55.60411527,154
92,-116.794554,61.0603311,20
93,-117.9636532,61.07466804,25
94,-119.1225761,59.94259082,17
95,-118.6276588,60.67314008,25
96,-117.967324,59.58455713,15
97,-120.3421005,61.41613055,11
98,-122.263182,60.255244,10
99,-116.5621283,62.24474937,19
